gene,expression/AUS_root_A.txt,expression/AUS_root_B.txt,expression/AUS_root_C.txt,expression/AUS_tip_leaf_A.txt,expression/AUS_tip_leaf_B.txt,expression/AUS_tip_leaf_C.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
LGT-AUS1-01504,0.691,0.633,0,0,0,0.221,0.441333333,0.073666667,0.2575,Andropogoneae,0.312966807,0.221300951,0.104180399,0.073666667
LGT-AUS1-01510,0,0,0,0.213,0,0,0,0.071,0.0355,Andropogoneae,0,0,0.100409163,0.071
LGT-AUS1-04169-RA,NA,NA,NA,NA,NA,NA,,,,Melinidinae, ,, ,
LGT-AUS1-05850,26.9,19.1,26.6,16.9,17.8,16.3,24.2,17,20.6,Cenchrinae,3.608323711,2.551470164,0.6164414,0.435889894
"LGT-AUS1-07324,LGT-AUS1-26621,LGT-AUS1-26622,LGT-AUS1-07326",0.20125,1.267,0.2895,0.03125,0.2955,0.21125,0.585916667,0.179333333,0.382625,Andropogoneae,0.482944369,0.341493239,0.110215005,0.077933777
LGT-AUS1-09861-RA,NA,NA,NA,NA,NA,NA,,,,Cenchrinae, ,, ,
LGT-AUS1-12633,0.875,1.33,0.326,1340,1050,1430,0.843666667,1273.333333,637.0885,,0.410479665,0.290252955,162.1384868,114.6492235
LGT-AUS1-12635,2.68,0.823,0,0,0.422,1.72,1.167666667,0.714,0.940833333,,1.120921149,0.792610946,0.731914385,0.517541625
LGT-AUS1-14500,1.98,7,10.2,9.95,9.94,11.6,6.393333333,10.49666667,8.445,Andropogoneae,3.383108367,2.392218868,0.780185163,0.551674219
LGT-AUS1-17510-RA,NA,NA,NA,NA,NA,NA,,,,Cenchrinae, ,, ,
LGT-AUS1-20547-RA,NA,NA,NA,NA,NA,NA,,,,Andropogoneae, ,, ,
LGT-AUS1-20548RA,1.44,3.31,2.43,3.49,4.3,11.1,2.393333333,6.296666667,4.345,Andropogoneae,0.763864444,0.540133728,3.412529202,2.41302254
LGT-AUS1-20552,6.43,10.3,12.6,7.41,9.73,9.26,9.776666667,8.8,9.288333333,Andropogoneae,2.545929213,1.800243811,1.001432308,0.708119576
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, ,, ,
NA,,,,,,,,,,, ,, ,
LGT-AUS1-26916,1.02,0,0.382,0,0.321,0.328,0.467333333,0.216333333,0.341833333,Cenchrinae,0.420762271,0.297523855,0.152997458,0.10818554
LGT-AUS1-28125,22.7,6.4,14.4,2.53,3.29,2.24,14.5,2.686666667,8.593333333,,6.654822813,4.705670338,0.442743969,0.313067263
LGT-AUS1-34026-RA,NA,NA,NA,NA,NA,NA,,,,Chloridoideae, ,, ,
LGT-AUS1-43035,14.8,37.4,36.3,32,35.9,32.1,29.5,33.33333333,31.41666667,,10.40416583,7.356856213,1.815366507,1.283657968
LGT-AUS1-45809,0,0.159,0,0.67,0,1.33,0.053,0.666666667,0.359833333,Andropogoneae,0.074953319,0.053,0.542975342,0.383941546
"LGT-AUS1-07291-RA,LGT-AUS1-39450RA",3.215,25.3,19.55,22.25,22.3,17.6,16.02166667,20.71666667,18.36916667,Cenchrinae,9.35498649,6.614974385,2.203910666,1.558400177
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
LGT-AUS1-25218RA,0,1.51,1.85,0,0.388,0.396,1.12,0.261333333,0.690666667,Andropogoneae,0.804031509,0.568536132,0.184819431,0.130687073
"LGT-AUS1-08218RA,LGT-AUS1-08210RA",0,0,0,0.2975,0,0,0,0.099166667,0.049583333,NA,0,0,0.140242845,0.099166667
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
LGT-AUS1-32520-RA,6.93E-01,6.98E+00,9.32E+00,1.05E+01,1.52E+01,1.31E+01,,,,Cenchrinae,3.642756862,2.575818079,1.922382781,1.3593299
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
