gene,expression/ZAM_root_1.txt,expression/ZAM_root_2.txt,expression/ZAM_root_3.txt,expression/ZAM_tip_leaf_1.txt,expression/ZAM_tip_leaf_2.txt,expression/ZAM_tip_leaf_3.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-02760,ZAM150510-14698",36.35,55.7,46.7,34.05,45.9,40.65,46.25,40.2,43.225,,7.906010372,5.590393546,4.848195541,3.428191943
ZAM150510-12378,80.3,92.3,51.7,49.7,43.5,42.1,74.76666667,45.1,59.93333333,,17.03043028,12.04233274,3.302524287,2.335237318
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
ZAM150510-61627,66.8,64.7,21.6,28.4,18.7,30.3,51.03333333,25.8,38.41666667,,20.83015976,14.72914722,5.080026247,3.592121008
ZAM150510-08736,65.1,83.7,28.5,17.8,6.41,23.1,59.1,15.77,37.435,,22.93120145,16.21480805,6.963222434,4.923741802
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-12742,ZAM150510-30343",3.98,1.315,1.22,5.745,4.765,5.04,2.171666667,5.183333333,3.6775,,1.279272797,0.90458247,0.412721321,0.291838045
"ZAM150510-08225,ZAM150510-08226,ZAM150510-56634",0.623333333,0.95,0.516666667,0.278666667,0.221333333,0.558666667,0.696666667,0.352888889,0.524777778,Andropogoneae,0.184350712,0.130355639,0.147377403,0.104211561
"ZAM150510-03909,ZAM150510-46566",9.72,1.2185,2.72,0.1155,0.1905,0,4.552833333,0.102,2.327416667,Andropogoneae,3.704801757,2.619690445,0.078354962,0.055405325
ZAM150510-46682,15.7,18.9,23.7,131,194,126,19.43333333,150.3333333,84.88333333,Melinidinae,3.287687468,2.324746103,30.94439457,21.88099124
ZAM150510-01056,6.5,9.34,4.47,6.86,8.47,8.78,6.77,8.036666667,7.403333333,Cenchrinae,1.997314864,1.412314885,0.841599007,0.595100365
"ZAM150510-64572,ZAM150510-65292,ZAM150510-34507,ZAM150510-43308",0.063,0,0,6.86,1.9475,3.785,0.021,4.1975,2.10925,Andropogoneae,0.029698485,0.021,2.026619723,1.433036549
ZAM150510-06902,0,0,0,0.162,0,0,0,0.054,0.027,Cenchrinae,0,0,0.076367532,0.054
"ZAM150510-10753,ZAM150510-42848,ZAM150510-39250,ZAM150510-01080,ZAM150510-08182,ZAM150510-30045",13.73,13.03816667,13.03116667,700.5,645.8,401.3,13.26644445,582.5333333,297.8998889,NA,0.327795732,0.231786585,130.0824439,91.98217823
"ZAM150510-27205,ZAM150510-15774",39.3,31.2,34.05,37.85,54.8,47.75,34.85,46.8,40.825,NA,3.354847239,2.372235233,6.952337736,4.916045158
ZAM150510-37465,67.1,76.1,80.2,52.5,58,50,74.46666667,53.5,63.98333333,Andropogoneae,5.471339466,3.868821239,3.341656276,2.362907813
ZAM150510-59661,60.3,31.2,64.6,95.3,90.5,95.6,52.03333333,93.8,72.91666667,Cenchrinae,14.8356178,10.49036595,2.336664289,1.652271164
NA, , , , , , ,,,,Andropogoneae, , , , 
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-46668,ZAM150510-17757,ZAM150510-66244",10.018,13.41333333,2.988,5.086666667,3.016666667,4.966666667,8.806444443,4.356666667,6.581555555,Andropogoneae,4.341489292,3.069896519,0.948788701,0.670894925
NA,,,,,,,,,,Andropogoneae,,,,
NA, , , , , , ,,,,Andropogoneae, , , , 
ZAM150510-20465,38.5,39,21.2,14.4,13.8,17.3,32.9,15.16666667,24.03333333,Cenchrinae,8.275667143,5.851780356,1.528252452,1.080637672
ZAM150510-53585,15.6,19.2,69,7.08,12.1,9.8,34.6,9.66,22.13,NA,24.36883255,17.23136675,2.051795961,1.450838838
ZAM150510-24323,0,0,0,0,0,0,0,0,0,Chloridoideae,0,0,0,0
"ZAM150510-13303,ZAM150510-13302",32.33,32.455,51.625,26.8,35.9,36.5,38.80333333,33.06666667,35.935,NA,9.066431063,6.410934886,4.437967503,3.138116916
"ZAM150510-59536,ZAM150510-39163,ZAM150510-13935,ZAM150510-42411",24.525,23.725,29.725,4.3975,4.41,3.9125,25.99166667,4.24,15.11583333,Andropogoneae,2.659991646,1.880898131,0.231633691,0.163789753
