gene,expression/KWT_root_A.txt,expression/KWT_root_B.txt,expression/KWT_root_C.txt,expression/KWT_tip_leaf_A.txt,expression/KWT_tip_leaf_B.txt,expression/KWT_tip_leaf_C.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
KWT3-10644,35.2,42.9,19.5,26.3,22.1,19.5,32.53333333,22.63333333,27.58333333,,9.737327947,6.885330622,2.801586852,1.981021061
KWT3-40311,4.46,1.85,13.8,3.25,1.26,1.54,6.703333333,2.016666667,4.36,,5.129979424,3.627443238,0.87955797,0.621941405
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-00517,87.8,82.1,66,43.3,42.6,53.1,78.63333333,46.33333333,62.48333333,,9.231227197,6.527463349,4.793282336,3.389362444
KWT3-14574,72.6,71.2,73.3,39.1,36.7,46.1,72.36666667,40.63333333,56.5,,0.87305339,0.617341973,3.987759048,2.819771464
"KWT3-11166,KWT3-26742",22.7,21.95,21.8,14.9,10.4,17.45,22.15,14.25,18.2,,0.393700394,0.278388218,2.914618328,2.060946385
KWT3-17762,2.93,1.95,10.2,0,0,0,5.026666667,0,2.513333333,,3.679912439,2.602091039,0,0
KWT3-10067,52.5,51.9,55.4,24.6,16.6,27,53.26666667,22.73333333,38,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-13054,76.2,99,66,55.5,71.1,77.6,80.4,68.06666667,74.23333333,,13.79565149,9.754998719,9.273738309,6.557523245
KWT3-09516,1.64,2.68,6.61,0,0.0943,0,3.643333333,0.031433333,1.837383333,,2.140285547,1.513410424,0.044453446,0.031433333
"KWT3-33580,KWT3-21678",14,14.5,11.275,4.82,1.85,4.88,13.25833333,3.85,8.554166667,,1.41720578,1.002115817,1.414425678,1.000149989
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-09357,106,107,65.7,55.2,59.6,68.2,92.9,61,76.95,,19.23763672,13.60306338,5.398765291,3.817503547
KWT3-30393,6.68,9.01,4.12,4.78,1.8,6.66,6.603333333,4.413333333,5.508333333,,1.997070076,1.412141793,2.000955327,1.414889081
"KWT3-15161,KWT3-28819",2.225,2.145,1.336,4.185,2.425,4.125,1.902,3.578333333,2.740166667,,0.401552819,0.283940722,0.815897597,0.576926724
KWT3-38361,1.88,4.37,6.77,0,0,0,4.34,0,2.17,,1.996446844,1.411701102,0,0
KWT3-10513,14.8,16.6,10.1,233,226,165,13.83333333,208,110.9166667,,2.740235189,1.937638884,30.53959179,21.59475245
KWT3-18080,36.4,40.1,44.3,13.8,11.6,14.2,40.26666667,13.2,26.73333333,,3.227313985,2.282055604,1.143095213,0.808290377
"KWT3-39425,KWT3-39469",0.252,0.222,0.062,1.085,1.885,7.65,0.178666667,3.54,1.859333333,,0.083399973,0.058972687,2.924502807,2.067935766
"KWT3-02034,KWT3-02033",0.88,0.6105,1.091,1.4175,0.6275,0.952,0.8605,0.999,0.92975,,0.196647315,0.13905065,0.324223945,0.22926095
"KWT3-36679,KWT3-14076,KWT3-28494",84.16666667,42.74333333,81.96333333,138.8666667,115,199,69.62444444,150.9555556,110.29,,19.02908774,13.45559698,35.34219316,24.99070444
"KWT3-37289,KWT3-37903",53.55,57.9,42.65,43.25,34.35,48.05,51.36666667,41.88333333,46.625,,6.414350231,4.535630545,5.675874871,4.013449611
KWT3-31119,50.8,74.7,51.7,34.2,38.2,39,59.06666667,37.13333333,48.1,,11.06054047,7.820983172,2.099735433,1.484737163
KWT3-07097,49.3,51.4,34.9,210,171,183,45.2,188,116.6,,7.333484847,5.185556865,16.30950643,11.53256259
KWT3-33753,3.32,1.03,3.67,11.5,7.04,6.43,2.673333333,8.323333333,5.498333333,,1.170764233,0.827855328,2.260004916,1.598064802
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
"KWT3-09975,KWT3-14491",8.585,11.015,7.435,8.43,7.235,7.705,9.011666667,7.79,8.400833333,,1.492343422,1.055246153,0.491545183,0.347574932
NA,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-20335,12.8,11.7,7.31,14.7,17.6,7.82,10.60333333,13.37333333,11.98833333,,2.371642656,1.677004605,4.101392717,2.900122603
HCOV-KWT3-550bp-,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-41758,190,166,87.5,52.5,53.8,43.7,147.8333333,50,98.91666667,,43.77277185,30.95202381,4.486275367,3.172275734
"KWT3-14868,KWT3-16135,KWT3-23539",22.18333333,26.12,28.85,9.268,9.047333333,8.98,25.71777778,9.098444444,17.40811111,,2.736475612,1.934980462,0.123004768,0.086977505
KWT3-44537,23.7,21.2,30.1,42.9,43,32.1,25,39.33333333,32.16666667,Cenchrinae,3.747888294,2.650157228,5.114901976,3.616781872
"KWT3-44409,KWT3-44538",7.35,11.25,4.635,167.25,212.95,56.4,7.745,145.5333333,76.63916667,Cenchrinae,2.714967771,1.919772122,65.73018502,46.47825955
KWT3-05667,80,61.6,67.2,77.1,78.7,87.8,69.6,81.2,75.4,Cenchrinae,7.701082175,5.445487428,4.712395003,3.332166462
KWT3-550bp,NA,NA,NA,NA,NA,NA,,,,Cenchrinae,,,,
KWT3-37173,16.3,19.8,16.9,9.11,14.5,13.6,17.66666667,12.40333333,15.035,Cenchrinae,1.528252452,1.080637672,2.357545805,1.667036626
KWT3-23763,22,19.7,46.6,0.876,0.912,1.34,29.43333333,1.042666667,15.238,Andropogoneae,12.1749287,8.608974645,0.210759473,0.149029453
"KWT3-42730,KWT3-41233",23.5,29.6,21.45,18,19.75,18.95,24.85,18.9,21.875,NA,3.461454415,2.44761789,0.715308791,0.505799697
NA,NA,NA,NA,NA,NA,NA,,,,Danthonioideae,,,,
NA,NA,NA,NA,NA,NA,NA,,,,Cenchrinae,,,,
KWT3-44096,9.16,13.8,8.71,20.6,14,17.5,10.55666667,17.36666667,13.96166667,Danthonioideae,2.300729353,1.626861327,2.696087701,1.906421896
KWT3-07239,146,100,138,24,16.5,30.5,128,23.66666667,75.83333333,Cenchrinae,20.06655592,14.18919777,5.720334101,4.044887033
KWT3-07238,118,66.8,63.3,48.6,54.4,77.5,82.7,60.16666667,71.43333333,Cenchrinae,25.00173327,17.67889514,12.48314419,8.826915908
"KWT3-36593,KWT3-38427",1.442,0.9015,5.99,20.9,22.1,12.54,2.777833333,18.51333333,10.64558333,Danthonioideae,2.28203799,1.613644538,4.252100135,3.00668884
KWT3-22488,118,83.3,96.8,39.5,20.7,39.6,99.36666667,33.26666667,66.31666667,Cenchrinae,14.2820011,10.09889983,8.886068997,6.283399646
NA,,,,,,,,,,Cenchrinae,,,,
"KWT3-32540,KWT3-38626",19.52,24.745,20.6,14.16,10.804,11.03,21.62166667,11.998,16.80983333,Danthonioideae,2.252111355,1.592483211,1.531546495,1.082966912
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-37115,12.5,14,8.62,24.7,26.2,22.8,11.70666667,24.56666667,18.13666667,,2.266882343,1.602927877,1.39124245,0.983756971
KWT3-15954,49.3,56.2,47.3,249,300,249,50.93333333,266,158.4666667,,3.812552368,2.695881633,24.04163056,17
KWT3-35991,3.07,4.09,1.95,2.93,2.22,0.974,3.036666667,2.041333333,2.539,,0.873969234,0.617989572,0.808465762,0.571671623
KWT3-24959,20.3,16.6,16.5,15.3,10.3,10.8,17.8,12.13333333,14.96666667,,1.768238295,1.250333289,2.248456261,1.589898669
KWT3-45204,9.6,15.5,11,7.55,5.71,9.77,12.03333333,7.676666667,9.855,,2.51705295,1.77982521,1.659906289,1.173730993
"KWT3-46583,KWT3-46980,KWT3-32971,KWT3-32014,KWT3-32015",0.04386,0.2442,0.686,0.0368,0.0192,0,0.324686667,0.018666667,0.171676667,,0.268259231,0.189687921,0.01502827,0.010626591
KWT3-13417,8.45,8.88,10.3,10.7,11.4,9.79,9.21,10.63,9.92,,0.790485083,0.558957363,0.659140855,0.466082968
KWT3-13418,13.2,15.3,13.4,21.2,16.4,17.1,13.96666667,18.23333333,16.1,,0.946337971,0.669161997,2.117125934,1.497034105
KWT3-13423,16.9,27.8,23,11.6,12.4,12.1,22.56666667,12.03333333,17.3,,4.460443426,3.154009794,0.329983165,0.233333333
KWT3-13426,45.1,35.9,42.4,42.4,30.2,48.1,41.13333333,40.23333333,40.68333333,,3.861203036,2.730282851,7.466517856,5.279625408
KWT3-32289,12.4,12.9,10.3,3.89,4.6,3.55,11.86666667,4.013333333,7.94,,1.126449683,0.79652021,0.43744206,0.309318247
KWT3-14553,27.6,28.2,25.9,26.4,23.6,30.8,27.23333333,26.93333333,27.08333333,,0.97410928,0.688799277,2.963481436,2.095497819
KWT3-24224,0,0.882,0,0.287,0,0.263,0.294,0.183333333,0.238666667,,0.415778787,0.294,0.130005983,0.091928112
KWT3-26819,21.6,38.6,71.2,51.2,34.2,37.1,43.8,40.83333333,42.31666667,,20.58024943,14.55243393,7.425332017,5.250502621
"KWT3-41356,KWT3-41866",22.45,16,10.88,7.59,7.78,7.47,16.44333333,7.613333333,12.02833333,,4.733823918,3.347318994,0.127627931,0.090246576
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-05525,25.4,14.3,18.5,418,609,388,19.4,471.6666667,245.5333333,,4.576024475,3.235737937,97.87860963,69.2106286
KWT3-24225,52.4,49,28,12.7,12.1,24.8,43.13333333,16.53333333,29.83333333,,10.79053083,7.630057521,5.850546033,4.136960774
KWT3-10410,2.35,1.8,2.76,7.84,3.34,2.93,2.303333333,4.703333333,3.503333333,,0.393305084,0.278108692,2.224265172,1.572792986
KWT3-29854,143,133,118,76.6,78.3,105,131.3333333,86.63333333,108.9833333,,10.27402334,7.264831573,13.00572524,9.196436508
KWT3-29508,54.3,61.2,36.1,58.1,62.5,41.5,50.53333333,54.03333333,52.28333333,,10.58751886,7.48650638,9.042615158,6.394094498
"KWT3-26040,KWT3-26039",12.13,6.365,16.3,7.585,3.8205,5.325,11.59833333,5.576833333,8.587583333,,4.073332651,2.88028114,1.54713285,1.09398813
"KWT3-26041,KWT3-12238",2.135,2.059,1.425,1.405,1.73,1.97,1.873,1.701666667,1.787333333,,0.318299649,0.22507184,0.231528736,0.163715539
KWT3-29507,132,201,86.2,28.1,20.4,21.4,139.7333333,23.3,81.51666667,,47.18483749,33.36471856,3.418576702,2.417298768
"KWT3-42728,KWT3-41234",48.85,43.25,37.5,32.3,19.9,30.1,43.2,27.43333333,35.31666667,Chloridoideae,4.633752979,3.276558154,5.402057221,3.819831294
"KWT3-42731,KWT3-39560,KWT3-41232",0.928,0.751666667,0.673333333,0.458666667,0.287,0.67,0.784333333,0.471888889,0.628111111,,0.106502304,0.075308501,0.156638374,0.110760057
"KWT3-24557,KWT3-41243",43.7,21.65,72.25,5.635,4.985,4.84,45.86666667,5.153333333,25.51,Cenchrinae,20.71409879,14.64707972,0.345695756,0.244443813
NA,,,,,,,,,,,,,,
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-33746,0,0,0.781,0,0.47,0.417,0.260333333,0.295666667,0.278,,0.368166931,0.260333333,0.210184575,0.148622938
KWT3-42571,343,565,282,45.7,48.9,49.5,396.6666667,48.03333333,222.35,,121.6068346,85.98901739,1.667999467,1.179453734
"KWT3-35201,KWT3-40547",1.17,2.05,6.45,48.25,28.2,18.55,3.223333333,31.66666667,17.445,,2.309708976,1.63321088,12.37028249,8.747110634
KWT3-30110,5.19,11.3,23.6,0,0,0,13.36333333,0,6.681666667,,7.656153662,5.413718172,0,0
"KWT3-40547,KWT3-41089",1.0955,1.91,2.141,28.7,20.7,15.8,1.7155,21.73333333,11.72441667,,0.448434499,0.317091075,5.316849527,3.759580355
"KWT3-10366,KWT3-18501,KWT3-39448",2.706666667,1.953333333,3.886666667,1.583333333,1.434,1.886666667,2.848888889,1.634666667,2.241777778,,0.795661073,0.56261734,0.188331465,0.133170456
KWT3-05114,19.8,21.8,14,9.97,11.8,8.67,18.53333333,10.14666667,14.34,,3.307902995,2.339040639,1.283908962,0.907860733
KWT3-35394,16.3,23.5,19.2,12.9,10.9,13.4,19.66666667,12.4,16.03333333,,2.957852074,2.091517259,1.08012345,0.763762616
"KWT3-41399,KWT3-33447,KWT3-29090",17.76666667,18.09333333,12.11,40.58666667,41.84666667,37.95333333,15.99,40.12888889,28.05944445,,2.746813642,1.942290553,1.622073055,1.146978857
KWT3-30581,19.1,21.1,14.5,13.5,10.9,14.9,18.23333333,13.1,15.66666667,,2.763250903,1.953913452,1.657307053,1.171893055
KWT3-15955,22.4,29.9,17.2,0.174,0,0,23.16666667,0.058,11.61233333,,5.213017893,3.686160303,0.082024387,0.058
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-02616,29.9,27.5,26.9,13.9,24.9,20.8,28.1,19.86666667,23.98333333,,1.29614814,0.916515139,4.538967088,3.209534407
KWT3-07191,94.6,78.7,76.6,51.6,32.6,55,83.3,46.4,64.85,,8.036168241,5.682429058,9.856300861,6.969457176
KWT3-40313,12,15.2,13.7,18.8,17.6,8.19,13.63333333,14.86333333,14.24833333,,1.30724477,0.924361642,4.744121509,3.35460049
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
KWT3-09281,14.4,13.9,18.1,3.05,1.55,2.64,15.46666667,2.413333333,8.94,,1.873202842,1.324554432,0.632999912,0.44759853
KWT3-13053,1.02,0.75,4.11,15,9.52,16.2,1.96,13.57333333,7.766666667,,1.524270317,1.077821878,2.907706236,2.056058797
"KWT3-06396,KWT3-13052",46.25,54.95,44.75,70.25,49.7,32.05,48.65,50.66666667,49.65833333,,4.496665431,3.179622619,15.6100573,11.03797737
KWT3-10514,27.5,21.4,23.1,17.5,25.8,25.6,24,22.96666667,23.48333333,,2.570343686,1.817507451,3.8663793,2.733943021
KWT3-45445,6.46,5.88,12.9,4.59,4.72,10.7,8.413333333,6.67,7.541666667,,3.181376362,2.249572799,2.8501345,2.015349432
KWT3-04801,0.475,0.387,0.261,0.227,0.237,0.207,0.374333333,0.223666667,0.299,Cenchrinae,0.087823054,0.062100277,0.012472191,0.008819171
KWT3-39469,0.504,0.444,0.124,2.17,3.77,15.3,0.357333333,7.08,3.718666667,,0.166799947,0.117945373,5.849005613,4.135871532
KWT3-02036,11.8,12,15.4,60.2,66.2,35.3,13.06666667,53.9,33.48333333,,1.651934892,1.168094365,13.3783407,9.459915433
"KWT3-02034,KWT3-02035",0.3605,0.4585,0.961,0.1575,0.1645,0.072,0.593333333,0.131333333,0.362333333,,0.263040027,0.185997386,0.042052216,0.029735407
KWT3-02034,0,0.161,0.272,0.315,0.329,0.144,0.144333333,0.262666667,0.2035,,0.111667164,0.078960609,0.084104432,0.059470815
NA,NA,NA,NA,NA,NA,NA,,,,,,,,
"KWT3-10136,KWT3-10141",1.585,3.01,8.66,0,0,0,4.418333333,0,2.209166667,,3.055209576,2.160359409,0,0
KWT3-37482,57.3,58.6,320,103,69.6,104,145.3,92.2,118.75,,123.5326947,87.35080614,15.98582706,11.30368671
KWT3-38789,141,72.8,26,4.45,6.85,14.5,79.93333333,8.6,44.26666667,Cenchrinae,47.21873451,33.38868737,4.285440467,3.030264015
"KWT3-18528,KWT3-42432",52.35,66.2,44.85,28.9,21.85,21.05,54.46666667,23.93333333,39.2,,8.843673194,6.253421286,3.527117173,2.494048471
"KWT3-18233,KWT3-41480",23.25,30.15,18.95,21.55,15.3,14.65,24.11666667,17.16666667,20.64166667,,4.613265895,3.262071598,3.110823399,2.199684321
NA,,,,,,,,,,,,,,
"KWT3-17088,KWT3-14488",39.1,33.5,46.35,13.175,16.15,24.5,39.65,17.94166667,28.79583333,,5.260386551,3.719655002,4.79384733,3.389761955
KWT3-24195,0.112,0.0821,0.069,8.81,7.2,8.2,0.0877,8.07,4.07885,,0.01799574,0.01272491,0.663676628,0.469290244
