probe,time_of_day,warm_cold,treatment,species,species_treatment,timepoint,FW,VNaOH,FA,average_FA,replicate,,
Chr1III,morning,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,61.7,92,52.18800648,,1,,
Chr1III,morning,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,61.7,70,39.7082658,,1,,
Chr1III,morning,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,61.7,95,53.8897893,,1,,
Chr1III,evening,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,62.9,40,22.25755167,,1,,
Chr1III,evening,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,62.9,48,26.709062,,1,,
Chr1III,evening,cold,drought,A. canariense ssp. christii,A. canariense ssp. christii (cold-drought),3,62.9,40,22.25755167,,1,,
Chr2III  ,morning,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,55.9,78,48.8372093,,2,,"#fa calc, =((0.00001*VNaOH/1000)*3.5)/(FW/1000)*1000000"
Chr2III  ,morning,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,55.9,82,51.34168157,,2,,"#abs calc, Morning - Evening"
Chr2III  ,morning,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,55.9,82,51.34168157,,2,,"#perc calc, (Morning-Evening)/Morning*100"
Chr2III  ,evening,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,56.8,58,35.73943662,,2,,"#the percentage difference looks at the increase of acid over night, so how much higher the morning acidity is than the evening/night samples"
Chr2III  ,evening,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,56.8,58,35.73943662,,2,,
Chr2III  ,evening,cold,control,A. canariense ssp. christii,A. canariense ssp. christii (cold-control),3,56.8,62,38.20422535,,2,,
DAV3III ,morning,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,51.9,186,125.433526,,3,,
DAV3III ,morning,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,51.9,198,133.5260116,,3,,
DAV3III ,morning,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,51.9,202,136.2235067,,3,,
DAV3III ,evening,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,54.5,66,42.3853211,,3,,
DAV3III ,evening,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,54.5,68,43.66972477,,3,,
DAV3III ,evening,warm,cold,A. davidbramwellii,A. davidbramwellii (warm-cold),3,54.5,70,44.95412844,,3,,
GOR1III,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),3,56.5,270,167.2566372,,1,,
GOR1III,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),3,56.5,270,167.2566372,,1,,
GOR1III,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),3,51.9,50,33.71868979,,1,,
GOR1III,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),3,51.9,56,37.76493256,,1,,
GOR2III ,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),3,53.5,124,81.12149533,,2,,
