probe,time_of_day,initial_condition,treatment,species,species_treatment,timepoint,FW,VNaOH,replicate
CAU_Z,morning,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,51,545,control
CAU_Z,morning,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,51,600,control
CAU_Z,morning,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,51,590,control
CAU_Z,evening,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,53.6,550,control
CAU_Z,evening,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,53.6,530,control
CAU_Z,evening,cool,drought,Pelargonium caucalifolium,Pelargonium caucalifolium (cool-drought),0,53.6,540,control
QUI_Z,morning,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,59.4,360,control
QUI_Z,morning,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,59.4,400,control
QUI_Z,morning,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,59.4,430,control
QUI_Z,evening,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,58,460,control
QUI_Z,evening,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,58,500,control
QUI_Z,evening,cool,drought,Pelargonium quinquelobatum,Pelargonium quinquelobatum (cold-drought),0,58,490,control
TETleafI,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,50.1,620,1
TETleafI,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,50.1,570,1
TETleafI,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,50.1,600,1
TETleafI,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,52.1,620,1
TETleafI,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,52.1,650,1
TETleafI,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),1,52.1,660,1
TETleafII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,56.7,660,1
TETleafII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,56.7,710,1
TETleafII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,56.7,680,1
TETleafII,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,55.4,430,1
TETleafII,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,55.4,430,1
TETleafII,evening,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),2,55.4,400,1
TETleafIII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),3,55,480,1
TETleafIII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),3,55,510,1
TETleafIII,morning,cool,drought,Pelargonium tetragonum (leaf),Pelargonium tetragonum (cool-drought) (leaf),3,55,560,1
